SQLDATE,YEAR,MonthYear,Actor1Name,Actor1Type1Code,Actor2Name,Actor2Type1Code,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
20250101,2025,202501,MINIST OF FOREIGN AFFAIRS,GOV,MEDIA,MED,40,40,4,1,1.0,2,1,2,-7.90123456790123,1,Benin,BN,BN,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
20250101,2025,202501,BENIN,,NIGER,,10,10,1,1,0.0,1,1,1,-7.90123456790123,1,Benin,BN,BN,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
20250101,2025,202501,BENIN,,NIGER,,57,57,5,1,8.0,2,1,2,-7.90123456790123,1,Benin,BN,BN,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
20250101,2025,202501,NIGER,,BENIN,,57,57,5,1,8.0,2,1,2,-7.90123456790123,1,Benin,BN,BN,9.5,2.25,https://saharareporters.com/2025/01/01/benin-summons-niger-republic-envoy-over-terrorism-claims
20250101,2025,202501,SENATOR,LEG,,,90,90,9,2,-2.0,6,1,6,1.46252285191956,1,Benin,BN,BN,9.5,2.25,https://www.legit.ng/business-economy/economy/1633507-2025-road-projects-vehicles-cost-n365-billion/
20250101,2025,202501,NIGERIA,GOV,,,20,20,2,1,3.0,10,1,10,1.46252285191956,1,Benin,BN,BN,9.5,2.25,https://www.legit.ng/business-economy/economy/1633507-2025-road-projects-vehicles-cost-n365-billion/
20250101,2025,202501,SPOKESMAN,MED,,,10,10,1,1,0.0,10,1,10,-5.30503978779841,1,Benin,BN,BN,9.5,2.25,https://quicknews-africa.net/police-nab-suspected-kidnapper-in-delta-recover-ammunition-cash/
20250101,2025,202501,OPERATIVE,SPY,,,180,180,18,4,-9.0,5,1,5,-5.30503978779841,1,Benin,BN,BN,9.5,2.25,https://quicknews-africa.net/police-nab-suspected-kidnapper-in-delta-recover-ammunition-cash/
20250101,2025,202501,DIPLOMAT,GOV,BENINESE,,40,40,4,1,1.0,2,1,2,-4.59770114942529,1,Benin,BN,BN,9.5,2.25,https://guardian.ng/news/benin-republic-protests-nigers-claim-of-backing-terrorists-summons-diplomat/
20250101,2025,202501,DIPLOMAT,GOV,BENINESE,GOV,40,40,4,1,1.0,6,1,6,-4.59770114942529,1,Benin,BN,BN,9.5,2.25,https://guardian.ng/news/benin-republic-protests-nigers-claim-of-backing-terrorists-summons-diplomat/
